Over-Sampling Method,Under-Sampling Method,Accuracy,F1 Score,Precision,Recall,Specificity,Confusion Matrix
ADASYN,RandomUnderSampler,0.8089622641509434,0.7790410534991947,0.7592227061637075,0.8089622641509434,0.9350046425255338,"[[1007   70]
 [ 173   22]]"
ADASYN,TomekLinks,0.8215408805031447,0.7920266260416182,0.7760515057832275,0.8215408805031447,0.9442896935933147,"[[1017   60]
 [ 167   28]]"
ADASYN,ClusterCentroids,0.8011006289308176,0.7748644787158044,0.7559164189713103,0.8011006289308176,0.924791086350975,"[[996  81]
 [172  23]]"
ADASYN,NearMiss,0.809748427672956,0.7819622269650778,0.7637079051596055,0.809748427672956,0.9331476323119777,"[[1005   72]
 [ 170   25]]"
ADASYN,EditedNearestNeighbours,0.8238993710691824,0.7911220830373118,0.7745586616940512,0.8238993710691824,0.9498607242339833,"[[1023   54]
 [ 170   25]]"
SMOTE,RandomUnderSampler,0.8176100628930818,0.7862143190498414,0.7680074652613822,0.8176100628930818,0.9433611884865367,"[[1016   61]
 [ 171   24]]"
SMOTE,TomekLinks,0.8144654088050315,0.784192028107869,0.7656496322450889,0.8144654088050315,0.9396471680594243,"[[1012   65]
 [ 171   24]]"
SMOTE,ClusterCentroids,0.8176100628930818,0.7878497903433288,0.7705260607528999,0.8176100628930818,0.9415041782729805,"[[1014   63]
 [ 169   26]]"
SMOTE,NearMiss,0.8199685534591195,0.7893871332992848,0.772394283682601,0.8199685534591195,0.9442896935933147,"[[1017   60]
 [ 169   26]]"
SMOTE,EditedNearestNeighbours,0.8176100628930818,0.7836621574315015,0.7639576536243283,0.8176100628930818,0.9461467038068709,"[[1019   58]
 [ 174   21]]"
RandomOverSampler,RandomUnderSampler,0.8482704402515723,0.7844452588474948,0.8152391330308096,0.8482704402515723,0.9972144846796658,"[[1074    3]
 [ 190    5]]"
RandomOverSampler,TomekLinks,0.8459119496855346,0.7831592722230938,0.7888053397681875,0.8459119496855346,0.9944289693593314,"[[1071    6]
 [ 190    5]]"
RandomOverSampler,ClusterCentroids,0.8498427672955975,0.7919109067292184,0.8177990926571326,0.8498427672955975,0.9944289693593314,"[[1071    6]
 [ 185   10]]"
RandomOverSampler,NearMiss,0.8482704402515723,0.7871422079144587,0.8097914794848758,0.8482704402515723,0.9953574744661096,"[[1072    5]
 [ 188    7]]"
RandomOverSampler,EditedNearestNeighbours,0.8466981132075472,0.7822115309599041,0.7954065410795319,0.8466981132075472,0.9962859795728877,"[[1073    4]
 [ 191    4]]"
