Model,Accuracy,F1 Score,Precision,Recall,Specificity,ROC-AUC,Confusion Matrix
RandomForest,0.9912331969608417,0.9912198829991774,0.9913637848909184,0.9912331969608417,0.9791376912378303,1.0,"[[704  15]
 [  0 992]]"
AdaBoost,0.6972530683810637,0.6926664093419322,0.694036073678422,0.6972530683810637,0.5632823365785814,0.7372001043115437,"[[405 314]
 [204 788]]"
ExtraTrees,0.994739918176505,0.994735230640785,0.9947872116194735,0.994739918176505,0.9874826147426982,1.0,"[[710   9]
 [  0 992]]"
GradientBoosting,0.7323202805376973,0.7255521657987641,0.7324775462849215,0.7323202805376973,0.5702364394993046,0.793871135986361,"[[410 309]
 [149 843]]"
Bagging,0.9596727060198714,0.9593341099752642,0.9622953104351673,0.9596727060198714,0.9040333796940194,0.9989849252994751,"[[650  69]
 [  0 992]]"
HistGradientBoosting,0.9596727060198714,0.9593341099752642,0.9622953104351673,0.9596727060198714,0.9040333796940194,1.0,"[[650  69]
 [  0 992]]"
DecisionTree,0.9257744009351256,0.9244119323459096,0.9341985752704599,0.9257744009351256,0.8233657858136301,0.911682892906815,"[[592 127]
 [  0 992]]"
LogisticRegression,0.6680303915838691,0.6616084191019381,0.6634021369604376,0.6680303915838691,0.5132127955493742,0.706459744717125,"[[369 350]
 [218 774]]"
GaussianNB,0.5715955581531268,0.5543542905643684,0.6511332019429343,0.5715955581531268,0.8400556328233658,0.7056717999910269,"[[604 115]
 [618 374]]"
BernoulliNB,0.6364699006428989,0.6353899154204107,0.6346504011428297,0.6364699006428989,0.5479833101529903,0.651982199739782,"[[394 325]
 [297 695]]"
KNeighbors,0.8340151957919345,0.8261442089452087,0.8584703802710943,0.8340151957919345,0.6328233657858137,0.8961903853918973,"[[455 264]
 [ 20 972]]"
SVC,0.6832261835184102,0.6737380216192932,0.680302990642974,0.6832261835184102,0.49791376912378305,0.7227850621382745,"[[358 361]
 [181 811]]"
XGBoost,0.9433080070134424,0.9425788948809501,0.9483577070315288,0.9433080070134424,0.8650904033379694,0.9825824958499708,"[[622  97]
 [  0 992]]"
LightGBM,0.945645821157218,0.9449835464152841,0.9503047507723136,0.945645821157218,0.8706536856745479,0.9984872022073669,"[[626  93]
 [  0 992]]"
MLPClassifier,0.6621858562244302,0.6534922151016792,0.6571861851862876,0.6621858562244302,0.4853963838664812,0.708655334469918,"[[349 370]
 [208 784]]"
